dep,morts,accidents,nb_acc_nuit,nb_acc_agg,nb_femmes,age_moy_acc,nb_acc_atmo_extreme,nb_acc_auto,nb_acc_bidirec,nb_moy_voies
1,34,474,175,179,394,39.942207047153744,93,57,359,2.111814345991561
10,22,384,104,265,337,38.92024429563492,56,13,266,2.0885416666666665
11,36,318,107,161,285,40.9152400534476,35,16,248,2.088050314465409
12,18,194,40,75,175,45.86451890034365,28,11,159,1.9896907216494846
13,103,2997,1087,1992,2267,38.87265119487342,195,736,1499,2.38672005338672
14,38,557,161,322,361,40.80038043942891,105,16,440,1.6481149012567324
15,10,87,23,29,52,43.84056078021595,14,5,73,2.1954022988505746
16,15,185,65,57,133,42.27945945945946,28,0,159,2.1405405405405404
17,57,635,182,397,542,42.66473060185658,101,18,423,2.177952755905512
18,22,164,69,67,112,41.49102787456446,24,13,138,2.1463414634146343
19,5,186,50,116,139,41.82351083802697,34,9,146,2.032258064516129
2,31,210,75,93,146,39.79197278911565,35,11,168,2.019047619047619
21,30,205,75,95,160,41.26959736740224,32,29,150,2.448780487804878
22,38,436,130,193,362,41.202562072229505,84,0,304,2.231651376146789
23,7,59,23,15,45,43.63898305084746,9,0,52,2.0338983050847457
24,24,200,64,51,143,43.573572463768116,40,2,185,1.96
25,30,261,94,168,216,40.21389345010035,53,9,183,2.0
26,34,318,109,130,256,42.62051627617666,35,36,247,1.7955974842767295
27,33,392,143,188,312,38.31302741334629,69,29,311,2.1556122448979593
28,32,230,80,87,178,42.08734989648033,29,33,165,2.3217391304347825
29,38,696,226,423,579,40.68255222587119,163,0,468,2.0014367816091956
2A,9,277,82,183,204,41.15808836169847,19,0,215,2.0902527075812274
2B,21,338,104,165,296,40.62846106884568,36,0,278,2.100591715976331
3,23,248,73,108,194,41.84877112135177,38,9,215,2.0443548387096775
30,54,464,168,219,330,41.72273108237548,35,19,345,2.0732758620689653
31,63,809,273,518,620,39.789276885043265,109,134,540,2.4289245982694685
32,21,163,51,64,125,47.160692375109555,19,0,144,1.8466257668711656
33,78,1445,532,822,1206,38.62636724674787,237,303,818,3.3363321799307957
34,69,833,256,525,681,40.660260111370555,67,61,545,2.2400960384153663
35,42,779,280,450,626,38.38593689508323,158,6,396,2.4094993581514763
36,17,147,50,67,87,41.86504697116942,17,9,115,1.9591836734693877
37,26,714,233,534,623,37.37792450313459,117,23,522,2.287114845938375
38,78,705,226,339,525,39.38240965889902,86,47,541,2.157446808510638
39,15,108,26,30,85,41.649228395061726,8,6,96,2.1203703703703702
4,17,230,51,54,191,45.43064460901417,11,5,205,1.9739130434782608
40,28,171,54,62,126,41.15002784739627,23,8,140,2.0760233918128654
41,31,255,79,125,213,40.850072069313555,54,34,175,2.1921568627450982
42,24,390,111,213,298,39.876825396825396,57,29,262,2.146153846153846
43,15,127,29,54,79,46.03005249343832,11,1,113,1.9763779527559056
44,71,598,244,374,417,39.11711292934119,109,9,428,1.31438127090301
45,35,616,171,449,511,38.75208333333333,105,33,418,2.2857142857142856
46,16,91,25,18,69,45.52710622710622,21,6,82,2.10989010989011
47,23,185,55,62,139,43.806846846846845,29,6,166,2.081081081081081
48,4,84,17,22,59,47.752589807852964,13,10,69,2.130952380952381
49,32,749,225,534,589,38.26655699663043,119,34,542,2.15086782376502
5,18,252,51,139,231,42.96237982522444,16,1,231,2.0436507936507935
50,37,451,133,245,367,40.66541459895119,97,8,348,2.161862527716186
51,39,485,159,359,403,38.400409916543936,91,30,337,2.129896907216495
52,12,120,34,53,76,43.226527777777775,24,9,93,2.0083333333333333
53,8,109,33,36,82,42.42513106159895,18,5,91,2.0
54,29,577,189,429,432,40.38061813980358,91,22,337,2.046793760831889
55,17,106,39,41,58,43.388110212638516,20,5,91,2.0660377358490565
56,53,584,177,344,411,42.08774869536856,94,0,454,2.11472602739726
57,46,371,126,196,287,42.77720874513327,77,39,265,2.202156334231806
58,18,180,61,103,124,41.96948412698413,31,8,141,2.0
59,91,871,352,626,624,39.640169117781056,125,63,578,2.288174512055109
6,58,1072,304,857,736,42.4243166607439,66,54,695,2.048507462686567
60,41,472,184,227,353,38.82408696529459,88,42,325,2.288135593220339
61,30,198,74,54,127,41.300949975949976,44,12,170,2.186868686868687
62,61,574,206,344,421,38.959346136828714,104,41,437,2.1184668989547037
63,45,456,122,265,376,40.34631631161236,65,18,342,2.1842105263157894
64,46,850,242,675,695,42.19916666666666,161,13,633,2.1058823529411765
65,7,126,48,67,103,44.235582010582014,16,0,106,1.9126984126984128
66,30,356,92,257,262,43.7685861423221,9,7,229,1.896067415730337
67,42,796,265,529,603,39.81117990747388,109,88,481,2.5113065326633164
68,25,437,134,233,335,40.80102429988013,73,34,339,2.0617848970251718
69,61,2523,906,2086,1806,37.84874828346885,355,156,1312,2.343638525564804
7,33,265,62,111,178,44.47616352201258,24,0,235,1.939622641509434
70,16,124,44,48,85,40.19992319508449,24,0,108,2.0
71,48,507,154,306,331,42.791692495538655,87,19,409,2.096646942800789
72,41,381,125,193,317,41.072165979252595,70,24,269,2.456692913385827
73,31,241,79,105,155,42.81911677534084,44,14,189,2.199170124481328
74,63,547,188,326,387,40.09063428865511,93,27,439,2.0310786106032905
75,34,5610,1952,5582,3166,39.75816552975644,868,28,2701,2.7953654188948307
76,35,707,239,450,524,38.99555261648614,85,33,510,2.333804809052334
77,71,1020,364,334,801,38.195533441446756,209,247,545,2.6480392156862744
78,28,676,251,234,541,39.07984270003501,98,252,252,2.477810650887574
79,37,214,65,101,169,39.96279854620976,42,10,178,2.2383177570093458
8,22,91,30,40,51,40.39835164835165,15,5,72,2.197802197802198
80,33,470,168,283,361,39.66842520954223,78,45,355,2.2148936170212767
81,35,207,69,80,138,42.94590870750291,37,3,180,1.961352657004831
82,26,160,56,67,104,41.005520833333335,23,10,132,2.10625
83,73,745,227,363,608,43.193433819204174,53,104,491,2.4322147651006714
84,34,245,79,127,172,41.76771298995789,17,9,191,2.1020408163265305
85,43,332,116,151,258,40.998400745840506,39,12,260,1.8825301204819278
86,23,274,109,141,224,38.765389294403896,43,10,198,2.397810218978102
87,18,424,123,287,374,41.89455198889161,107,31,270,2.3820754716981134
88,22,184,68,99,144,43.387635869565216,30,3,148,2.092391304347826
89,41,218,85,83,160,42.78509174311927,50,29,162,2.2660550458715596
9,11,124,47,48,76,44.15672043010753,18,1,102,1.9435483870967742
90,9,47,16,20,35,40.74219858156028,8,6,39,2.3191489361702127
91,30,1460,500,748,1055,37.98258480104371,273,305,556,2.8767123287671232
92,25,2446,817,2018,1487,39.03390678777024,371,350,1081,2.6087489779231396
93,30,3130,1047,2327,1942,36.287971372787666,574,745,1321,3.2044728434504792
94,27,2681,899,2066,1795,38.282027554276716,408,576,1215,2.565460649011563
95,22,806,330,260,566,35.82543375083698,185,339,202,4.207196029776675
971,47,358,165,168,246,39.67825152966214,30,0,270,1.9664804469273742
972,27,527,213,299,429,39.730339447607,55,56,301,2.544592030360531
973,35,387,132,267,271,36.19354107706821,40,0,310,1.7881136950904393
974,39,779,266,511,532,37.56821840262148,70,0,491,1.9974326059050065
975,0,4,3,3,4,31.5,0,0,3,1.75
976,14,222,81,177,108,32.79571317729212,12,0,203,1.4324324324324325
977,0,16,8,12,7,35.182291666666664,0,0,16,2.0
978,10,33,17,22,23,33.35606060606061,0,0,31,1.9696969696969697
986,1,10,4,2,7,38.29166666666667,3,0,10,1.9
987,29,125,58,70,70,34.96242424242424,10,0,107,2.152
988,52,363,154,216,293,35.909525575434664,52,40,267,2.190082644628099
